uid,chefid,startdate,enddate,daily_rate,name,cuisine
1,1,2025-08-19,2025-08-25,175,Sophia Ricci,Italian
2,25,2025-07-11,2025-07-21,200,Brooke Baevsky,Modern American
3,25,2025-05-18,2025-05-21,200,Brooke Baevsky,Modern American
4,13,2025-03-13,2025-03-21,180,Nina Kim,Korean
5,22,2025-04-10,2025-04-20,160,James Holt,Irish
6,23,2025-11-22,2025-11-26,175,Ava Martinez,Caribbean
7,3,2025-12-02,2025-12-11,200,Pamela Dawson,American
8,19,2025-11-25,2025-12-08,170,Isabelle Dubois,Belgian
9,18,2025-10-15,2025-10-21,185,Anil Sharma,Indian
10,6,2025-09-15,2025-09-20,170,Oscar Weber,German
11,1,2025-09-18,2025-09-21,175,Sophia Ricci,Italian
12,26,2025-08-07,2025-08-16,180,Samir Patel,Middle Eastern
13,15,2025-05-29,2025-06-07,185,Amelie Laurent,French
14,3,2025-09-19,2025-09-28,200,Pamela Dawson,American
15,18,2025-07-26,2025-07-29,185,Anil Sharma,Indian
16,11,2025-07-07,2025-07-13,185,Claire Johnson,Greek
17,11,2025-07-20,2025-08-01,185,Claire Johnson,Greek
18,21,2025-03-24,2025-03-27,165,Greta Fischer,Austrian
19,12,2025-05-10,2025-05-14,165,Carlos Mendes,Portuguese
20,12,2025-01-02,2025-01-07,165,Carlos Mendes,Portuguese
21,19,2025-01-03,2025-01-08,170,Isabelle Dubois,Belgian
22,25,2025-06-18,2025-06-27,200,Brooke Baevsky,Modern American
23,18,2025-09-03,2025-09-07,185,Anil Sharma,Indian
24,27,2025-04-12,2025-04-25,180,Luca Bianchi,Italian
25,24,2025-02-21,2025-02-23,170,Nicolas Moreau,Swiss
26,7,2025-06-14,2025-06-22,190,Tiffany Moore,Vegetarian
27,18,2025-03-19,2025-03-28,185,Anil Sharma,Indian
28,5,2025-01-06,2025-01-11,190,Camila Ortega,Mexican
29,19,2025-02-14,2025-02-21,170,Isabelle Dubois,Belgian
30,25,2025-08-18,2025-08-26,200,Brooke Baevsky,Modern American
31,17,2025-08-05,2025-08-07,170,Elisa Turner,British
32,4,2025-04-19,2025-04-26,200,Marcus Evans,European
33,3,2025-01-23,2025-01-29,200,Pamela Dawson,American
34,12,2025-03-18,2025-03-22,165,Carlos Mendes,Portuguese
35,15,2025-01-03,2025-01-15,185,Amelie Laurent,French
36,8,2025-04-15,2025-04-25,175,Peter Novak,Eastern European
37,15,2025-11-08,2025-11-14,185,Amelie Laurent,French
38,21,2025-04-13,2025-04-15,165,Greta Fischer,Austrian
39,16,2025-11-10,2025-11-22,195,Victor Lee,Japanese
40,10,2025-12-01,2025-12-13,210,Roberto Holz,Argentinian
41,12,2025-10-01,2025-10-13,165,Carlos Mendes,Portuguese
42,8,2025-09-14,2025-09-26,175,Peter Novak,Eastern European
43,14,2025-01-26,2025-02-03,190,Trenin Nubiru,African
44,12,2025-11-26,2025-11-29,165,Carlos Mendes,Portuguese
45,15,2025-12-17,2025-12-25,185,Amelie Laurent,French
46,4,2025-09-16,2025-09-24,200,Marcus Evans,European
47,6,2025-08-09,2025-08-22,170,Oscar Weber,German
48,8,2025-10-06,2025-10-12,175,Peter Novak,Eastern European
49,15,2025-10-09,2025-10-19,185,Amelie Laurent,French
50,2,2025-06-28,2025-07-11,190,David Keller,French
51,10,2025-05-10,2025-05-15,210,Roberto Holz,Argentinian
52,23,2025-07-22,2025-08-03,175,Ava Martinez,Caribbean
53,12,2025-11-13,2025-11-25,165,Carlos Mendes,Portuguese
54,27,2025-08-29,2025-09-11,180,Luca Bianchi,Italian
55,10,2025-05-01,2025-05-08,210,Roberto Holz,Argentinian
56,11,2025-04-21,2025-05-03,185,Claire Johnson,Greek
57,25,2025-03-04,2025-03-17,200,Brooke Baevsky,Modern American
58,7,2025-07-02,2025-07-05,190,Tiffany Moore,Vegetarian
59,1,2025-07-20,2025-07-23,175,Sophia Ricci,Italian
60,16,2025-05-06,2025-05-14,195,Victor Lee,Japanese
61,21,2025-02-20,2025-02-23,165,Greta Fischer,Austrian
62,3,2025-04-12,2025-04-24,200,Pamela Dawson,American
63,8,2025-06-24,2025-06-29,175,Peter Novak,Eastern European
64,5,2025-10-13,2025-10-19,190,Camila Ortega,Mexican
65,15,2025-06-28,2025-07-05,185,Amelie Laurent,French
66,20,2025-02-29,2025-03-11,185,Alejandro Torres,Spanish
