id;chefname;datum;kategoria;osszeg;megjegyzes
1;Oscar Weber;2025-03-06;Other;240;Miscellaneous expenses
2;Ava Martinez;2025-07-01;Accommodation;191;Hotel stay for the event
3;Tiffany Moore;2025-05-19;Equipment;396;Rental of kitchen equipment
4;Roberto Holz;2025-03-30;Travel;114;Flight ticket to event
5;Sophia Ricci;2025-05-04;Ingredients;302;Special ingredients for menu
6;Victor Lee;2025-07-22;Equipment;189;Rental of kitchen equipment
7;Sophia Ricci;2025-08-19;Accommodation;460;Hotel stay for the event
8;Samir Patel;2025-04-22;Travel;396;Flight ticket to event
9;Victor Lee;2025-04-14;Accommodation;455;Hotel stay for the event
10;Pamela Dawson;2025-02-24;Accommodation;70;Hotel stay for the event
11;Luca Bianchi;2025-07-07;Ingredients;398;Special ingredients for menu
12;Pamela Dawson;2025-10-17;Accommodation;386;Hotel stay for the event
13;Elisa Turner;2025-09-11;Accommodation;178;Hotel stay for the event
14;James Holt;2025-01-27;Travel;297;Flight ticket to event
15;Oscar Weber;2025-06-13;Accommodation;296;Hotel stay for the event
16;Elisa Turner;2025-06-14;Ingredients;415;Special ingredients for menu
17;Nina Kim;2025-10-27;Accommodation;152;Hotel stay for the event
18;Victor Lee;2025-03-03;Ingredients;257;Special ingredients for menu
19;Luca Bianchi;2025-01-13;Accommodation;183;Hotel stay for the event
20;Oscar Weber;2025-12-27;Equipment;279;Rental of kitchen equipment
21;James Holt;2025-11-03;Accommodation;286;Hotel stay for the event
22;Nina Kim;2025-09-23;Travel;271;Flight ticket to event
23;Alejandro Torres;2025-09-10;Equipment;395;Rental of kitchen equipment
24;Luca Bianchi;2025-02-19;Travel;179;Flight ticket to event
25;Sophia Ricci;2025-07-13;Other;310;Miscellaneous expenses
26;Roberto Holz;2025-10-22;Equipment;334;Rental of kitchen equipment
27;Olivia Bennett;2025-05-02;Other;355;Miscellaneous expenses
28;Sophia Ricci;2025-06-05;Travel;461;Flight ticket to event
29;Amelie Laurent;2025-07-22;Other;409;Miscellaneous expenses
30;Alejandro Torres;2025-06-11;Equipment;223;Rental of kitchen equipment
31;Isabelle Dubois;2025-11-29;Ingredients;347;Special ingredients for menu
32;Sophia Ricci;2025-08-16;Ingredients;489;Special ingredients for menu
33;Trenin Nubiru;2025-04-24;Other;323;Miscellaneous expenses
